@relation imdb-sentiment-2011-weka.filters.unsupervised.instance.Resample-S1-Z50.0-weka.filters.unsupervised.instance.Resample-S1-Z10.0-no-replacement-V-weka.filters.unsupervised.instance.Resample-S1-Z10.0-no-replacement-V

@attribute Text String
@attribute reviewLaenge NUMERIC
@attribute satzZeichenAnzahl NUMERIC
@attribute informationsDichte NUMERIC
@attribute class-att {pos,neg}

@data
'positively ridiculous works loses foolishly 3 qualify foolish works enjoys weed best miserable ',805,7,0.11801242236024845,neg
'melodramatic poor inconsistent decent good notromantic ',667,7,0.08245877061469266,neg
'genius sadness tragedy like ',767,5,0.03650586701434159,neg
'liked amazing exciting notperfect good enough incredibly cool liked lead notgood damn ',684,12,0.12573099415204678,pos
'excellent beautiful like lackluster plot notenough unnecessary didnt plot plot unnecessary well great ',733,10,0.13915416098226466,neg
'mediocre bad plot better plot not',267,3,0.12359550561797752,neg
'astonishing good plot extraordinary great struck dead notawesome plot recommend guarantee best ',727,8,0.13067400275103164,pos
'unbelievable cheesy good shallow strained funny notnauseating disaster unrealistic fun notinsult intelligent ',856,19,0.12733644859813084,neg
'didnt easy taut disturbing accurately struggle mar exceeds barbarian beloved irascible suffered progressive cancer death inevitable gentle well sharp terrible irony lover beautiful lies trapped willingly surrender beloved paralyzed plight supportive well amusing aggravating nice problem sick well proper dignity dilemma notethical dedicated death dignity sensitive issues catastrophic happily sensitive notgrieving cataclysmic issues excellent issues amusing absence kudos authentic strong compliment advocate dark effectively like dead support deadly suicide tragedy depraved beautiful limited ',4261,31,0.13987326918563717,pos
'nothilarious grin like darker bad 8 murder fun nothilarious pretend ',548,5,0.12408759124087591,pos
'brave encouragement love honest commitment stricken stereotype plight ',673,5,0.10401188707280833,pos
'notpopular critics excessive loved clearly like like bad worse good violent sexy dont dont flawlessly perfect famous murder notgrace work murder wont murder greasy trash outlaw broke notnervously drunk favorite funny gleefully drag battered conflicts appalled notodd stereotypical convenient murder murderer great murder fame murder notpretty morbidly fascinating amazed versatility like like drastically enough vain grace right easy disliked murder didnt glorify effective fascination murder ',5096,29,0.0967425431711146,pos
'dying appreciate distorts heartbreaking abused prison revenge unfortunate notnotimportant complex issues ',827,5,0.12696493349455865,pos
'notamusing ingenious likes lost fanciful radical morbid unexpected astonishingly subtract promising humour abounds fails miserably meaningful cute gusto notvengeance flare impressive readily confidence vengeance utterly fast ',1612,12,0.13957816377171217,neg
'worse bomb memorable concerned dont hard notnotrecommend not',743,6,0.08075370121130551,pos
'better fabulous shame fake spectacularly astutely luxury stolen siege love recommend destroy ',918,7,0.10130718954248366,neg
'wonderful talented wasted valuable valuable bothering support utterly good disaster ruined unusually strong overwhelms plot heroic danger glamorous embattled unreal like break glamorous emergency like moron superior trouble worrying mighty nothero thank safe safe excuse trap clever clearly good bravery mindless super hero problem didnt pathetic ',2855,18,0.12154115586690017,neg
'didnt didnt junk work worst dont fall wreck enemy worth ',620,12,0.09032258064516129,neg
'magnificent beautiful great superb notfamous brilliant best ',326,4,0.18404907975460122,pos
'embarrassing waste ',284,3,0.06690140845070422,neg
'good notnotnotlike parody notimportant enough honest disappointed plot like fell messy notgood waste good bad ',825,13,0.13333333333333333,neg
'valiant gritty good solemn suicide grim ideal tough superbly powerful taut die-hard murderous devastating helpless onslaught effective convincing crisp grim tension magnificent effective hated valiant work killing like fine pretty burning invincible dead boil harmony harmony harmony aghast quiet reasonable fast refuses kill harmony poised dont clearly refuses harmony dead relief harmony lack 6 7 invincible thwart relief worst hate willingly kill valiant notkill enhances dire valiant hated notvaliant significant unsavory dirty ',5791,65,0.09186668969089967,pos
'mad cure cure monster safe strange fans great 3 ',1058,12,0.045368620037807186,pos
'tentative forbidden golden powerful sharp painful loneliness best helplessness ineffectualness beautifully compassionate solid superbly irritating painfully insecure pathetic crippled unlikely survivor pitiful despicable frenetic moody perfectly spiritual weakness effectively complements tension defeat effectively ',1752,19,0.18036529680365296,pos
'fans notasinine notfunny notfamous immature fans like notskill limited funny hell ',756,6,0.10846560846560846,neg
'incredibly beautiful ',278,4,0.07553956834532374,pos
'magical evil massacre unfortunately kill evil tenuous magical evil notgood dead dull bland proper exploitation slow exciting interesting struggle recommend dont bother bland utterly lacks fair splatter proper cheap notbadly worth poor didnt struggle better ',2460,19,0.10447154471544716,neg
'9 tired notnotwork ',699,6,0.027181688125894134,pos
'like fans great scare dark good wonders dark grudge missed mockery derision dont wrong good likes tramp like smart enough homage plot top strange pretty strange dead sinister demon leading showdown plot ruin fun creepy refreshing pander modern lies slow terror terror profound pretty damned sweet holy relief crazy violent notdelightfully itch notwonder ',3597,32,0.09841534612176814,pos
'insane devastating plague unfortunately thrilling great greatest ',597,4,0.10887772194304858,pos
'hard astoundingly like inaccuracy happy struck well outrageous well obsession easy passion affinity ',890,10,0.11235955056179775,pos
'romantic failed like notdistract unnecessary falling erratic satisfying ',680,9,0.10588235294117647,neg
'missed good hard sadly cold hard hard modern notgreat realistic realistic good great sadly ',997,15,0.09127382146439318,pos
'heroine beautiful eccentric broken nasty like protracted boring fast plot fast like thank ',1124,10,0.0800711743772242,neg
'afraid cringe harsh pleasantly accurately clash notenjoy fooled drag implausible warm funny notlike cheesy ',1515,12,0.07062706270627063,pos
'bad like idiot confusing best weird wrong wrong plot damn crap worst stupid plot amazingly intelligent miss crap bad good amazingly dont productive ',1343,15,0.11020104244229337,neg
'didnt like fears notnotenough helpful 10 better appreciate liked fast right helpful slow interesting ',2093,22,0.0482560917343526,neg
'ludicrous hard abysmal trash ',231,4,0.12554112554112554,neg
'loud funny plot sexy wins debt violent loses fairly sick humour memorable sexy ',768,7,0.10286458333333333,pos
'unfortunately superb flawless vivid ardent right steals clever pedantic good excels notlowly lose good conflict critical enjoys worst ',1571,12,0.0852959898154042,pos
'awful crack worse hard notbother ',690,32,0.04782608695652174,neg
'***** **** *** ** * powerless hero brutally vicious punish tough trouble lead mysterious crime problems plot better like contend slaughtered bad well ridiculous pretentious cool ** ',1569,8,0.11536010197578075,neg
'madness good realistic hell wont morality rich superb great enough greatness skilled great uncomfortable excelled won uncomfortable unsound spite manic brilliant like great breaking notably ominous rich despoil brilliant ',1933,18,0.11433005690636316,pos
'ingenious enjoyed neglected obscene well notwell well excellent twists not',1642,16,0.04506699147381242,pos
'enjoyable great excellent entertaining charismatic perfectly good like fall humour twists thrills works great terrific work ',703,7,0.1763869132290185,pos
'success better falls improbably bright arbitrary senseless plot stolen unable false annoyed bogus ',944,12,0.1038135593220339,neg
'dangerous spectacular painful good fun smile like dominates dangerous idiotic proving wild infamous wild like dirty enjoy childish disgusting sad f**k ',1132,8,0.1333922261484099,pos
'crazy tortures horrific realistic abysmal torture ',283,5,0.17667844522968199,pos
'great great top good unforgettable spewing amazingly notproud mighty freedom gritty cool enjoy lucky enough ',798,6,0.13533834586466165,pos
'like lying best interesting limited lying falling plot stolen cheap didnt work good ',1087,12,0.07727690892364306,neg
'painful brutally murder enough notbest selfishness thrill killing killed bashing object kill devastated killing evil loved love didnt love spooky strange lose patience hung remarkable evil cold recommend not',2246,14,0.09216384683882457,pos
'correctly great unfortunately great notscratch kooky reward top progress problems notscratch ',1251,7,0.07434052757793765,neg
'satisfying beautifully love superb exceptionally talented intelligent attractive thank goodness wonderful perfect mature dumb sleazy witty fun intelligent shock clever problem rebellious outrageously difficult unrealistic flaw notgreat fantastic redundancy offensive beautiful light-hearted ',1668,13,0.17446043165467626,pos
'suffered dreadful cheap unexplained dreadful notenjoyed dreadful worst good dreadful ',744,0,0.11424731182795698,neg
'smoothly notunity moot kills racist unpleasant dead good ',971,12,0.05870236869207003,pos
'interesting intriguing good pleased enjoyed successful better dead enjoy love popular romantic work better funny sad intriguing puzzling fun criticism cold indifferent miserable hot like perfectly confused perfect funny perversely enjoyed right gaining pretty indifferent death ardent fell good better worked struggling indifferent dies murder dying struggle better well badly perfect good intriguing notgreat ambitious works pretty ',3584,28,0.12081473214285714,pos
'zombie dont like zombie terror dawn dead entertaining zombie wonderfully fast zombie attack greatest evil dead like fun ',1208,21,0.09933774834437085,pos
'kooky funny pretty good fun incompetent like like better notpretty hard ',957,14,0.07523510971786834,pos
'good marvelous drunk amusing defective jealous sweet love embarrassing awful romantic love hurtful ',852,10,0.11619718309859155,neg
'doubt favorite notauthentic wild pride cheesy legendary steady fans classic appreciate seasoned ',995,8,0.0964824120603015,pos
'poor chore loser losers best kills pretty dont evil kills break curse dont waste hard ',1430,17,0.06013986013986014,neg
'satisfy interesting hero enough passive weak fears falling immobilized helplessness mercy harm dont love attractive plaything strong enemies notfail protect ineffective die success good decline promising sweaty memorable ',1842,14,0.11997828447339848,pos
'like utterly dead like scary scariest little-known freaks perfectly ',752,17,0.09042553191489362,neg
'bad bad plot good notscary bad notimportant awful ',709,6,0.07052186177715092,neg
'mess notbotch pleasantly classic paranoia devious intimate slow creepy tension effective lead strange dread greedy well lead well notmorality greed 8 easy originality notprofound decent great creepy slow not',2001,16,0.10344827586206896,pos
'like ecstasy creative work clearly classic notstrange bitch superior strong indulge thank overrun nightmare 7 pleasantly awe great great decent better worth love wow hate love sadly afraid wont notlike notsplatter splatter ',2285,38,0.0975929978118162,pos
'dont fool sucks worst terrible worse sucks dont worse ',422,8,0.12796208530805686,neg
'scary pretty damn good silly unfortunately stereotypical dont dead fast-paced bored silly bad ',1208,9,0.07781456953642384,neg
'classic classic pity neglected ... recommended fans like fright fabulous problems like inventive drag modern great better ',764,14,0.15968586387434555,pos
'shame suitable notwonderful wonderful stunning criticism notambiguity intriguingly mysterious nicely favorite witty playful positively striking funny gorgeous magical noteasy ',1256,12,0.1393312101910828,pos
'bad ridiculous incredibly dull didnt like dislike ',571,8,0.08756567425569177,neg
'notpeaceful achievements beautiful notachievements noteasy easy realistic humour well fell love beautiful beautiful beautiful beautiful wonderful beautiful beautiful notnotenjoy ',2627,31,0.06775789874381424,pos
'freak better love correct great pity good forbidden fantastic classic classic great thrill available forbidden better fantastic notgreat ',1612,18,0.08498759305210918,pos
'like enjoyed plot like bland correct junk notnice 8 kill strike killed favorite greatest ',736,10,0.12092391304347826,pos
'difficult good dont like cheap clear unexpected soft disappointing ',828,12,0.08091787439613526,neg
'strangely wonderful bulky great great proves like greatest evil good evil like flaws gullible sensitive hero darkness evil rage wretched death destroy kill great steals recommend great notgalore notcursed variety like strong dark greatest notcuteness riled fury tragic anarchy brightest well bizarre humor dedicated fancy loved anxious danger overkill memorable unconvincing like weak liability great excitement goofy thrills best well ludicrous confusing notbest neat cool ',4844,26,0.09785301403798513,pos
'notbad good trick hate like better worth ',584,7,0.0702054794520548,pos
'crude exceptional flair mastery greed win insinuate foolish gain mistake savings promised love bad flaws bad crude notworth cute foolish ',1578,12,0.08681875792141952,neg
'shame didnt rich love believable pleasurable perfect loves afraid break great ',761,7,0.10249671484888305,pos
'stylized notevil unfulfilled leading fun fun ',766,10,0.0587467362924282,pos
'inventive plot notcannibal dont lose not',749,21,0.0534045393858478,neg
'good good funny solid nice ',251,5,0.10756972111553785,pos
'disappointing fails bad bad ',328,6,0.08536585365853659,neg
'favorite like best work notashamed work finest notuneven exploitation inventive enough grotesque notmocking horrible racism joke joke grand best like hilarious work twists awkward loved colorful like notnotincredibly sharp fairly cohesive clever cool prison opposition plot rotten offensive broke bloody dirty notopponent wild audacious warped plot racist misses like desolation best ',3801,20,0.10102604577742699,pos
'worst doubt notunfunny great heartbreaking 1 throttle bad like stupid dont wrong great mad like garbage funny sickening burn ',1058,9,0.11814744801512288,neg
'sick entertaining interesting likes falls faster unfortunate trapped hell grotesque tortuous right entertaining cringe notdont blame well benefit torture violent devil notworth didnt ',2040,30,0.08970588235294118,neg
'notplot disturbing mysterious illness ridiculous notplot notnotwell memorable disturbing positive ',968,9,0.1012396694214876,neg
'ludicrously awful inspire horrid contrived stupid despicable shocking lack hell admire funny hell breakdown not**** top awards sincerely won golden bad tacky ',1306,13,0.12098009188361408,neg
'accurate work fiction worst notcontinuity difficult silly implausible strange boring bad bad failing likable liar thug murderer fist great miraculously fall notentertaining satisfying notaccurate wound worst terrible wobble like dust scratches ',1650,8,0.1478787878787879,neg
'like good lack like didnt love unpredictable like pretty cute guilty pleasure enjoyable like well like sucked good good garbage didnt wonder ',1528,35,0.09227748691099476,neg
'fans easy sturdy funny plot self-destructive fans happiness decent creative break benefit inevitably failure success talents shamelessly contrived like ideal strong softer hardened lapse unparalleled talent strident poignant oddly dynamic great regrettably superb honesty love pride resentment work strange supporting didnt cynical nice good love inescapable clean gratefully crisp lure insightful troubled dissatisfaction tiring amusing like farcical awestruck falls interesting fast ',5298,37,0.09154397885994715,pos
'dies fails bad atrocious notgood plot fun incompetent 2 perfect maniac dead gruesome awful hell ',1202,9,0.07986688851913477,neg
'loved confused convincingly didnt wonderful win ',844,9,0.05687203791469194,pos
'loving good notgood good funny like clear misses notclearly notnotharm better ',1264,8,0.061708860759493674,neg
'liked unfortunately bad bad good dont like notsick bad silly not',852,8,0.07511737089201878,neg
'love horrible 3 fascinating barbarian fanatics funny flashy notnotbarbarian humor good dont dont ',955,12,0.10157068062827225,neg
'beloved unfortunately dead dies killed killed dead like monstrous great killed clever pretty nice intelligent notgood brainy capable like works thrills excitement bad decent reasonable brilliant benefit modern leads pan work good badly pan right didnt suffering exhaustion expensive hard broke like good work amazingly best lost good terrible like reject terrible good fairly bad good not',4700,22,0.0825531914893617,neg
'like worth unfortunately failed impress magic stylish brilliant good like talents wasted worst dont excitement passion best work good liked work carnage ',1121,7,0.13648528099910795,neg
'worst cheap ',178,5,0.06741573033707865,pos
'good awesome good best recommend great enjoy 2 bad good enjoy exaggeration humor right good good worth ',660,9,0.15606060606060607,pos
'like abused well rich poorly like ',1215,13,0.027983539094650206,neg
'like nice amusing like glad cheesy boring poor monster cheap terrible ',622,7,0.11254019292604502,neg
'horde bloodthirsty lone darkness easy freaking enthusiasm like like dead sadly notenough super 8 grainy dark difficult great obscured dreadful grating annoying annoying death bad death worthy strictly confused fans love ',1206,10,0.1824212271973466,neg
'decent over-hyped worst positive setbacks great wasted ',643,3,0.08553654743390357,neg
'excellent lost stuck dusty lovely elevate lovely trash lovely gleeful ignorance enjoyed survival attack disbelief incapable blunt sorry right conveniently poor support lack strange dead not',2092,29,0.09034416826003824,neg
'adore appreciate mystery romantic dont approve bother dead fabulous appreciated like like notrecommend dont like ',979,11,0.11542390194075587,pos
'.... killed like murder delusion murder ',943,55,0.042417815482502653,neg
'well doubt well wonder praise louder notwarm nice notloss losses notgood appeal ',1478,16,0.05412719891745602,neg
'hard lost trapped morbid unable death well dark 10 well interesting wont 10 enjoyed ',656,8,0.12804878048780488,neg
'wonderful complaint like wonderful wrong 2 terrible death terrible sadness favorite dont missed modern offensive ',720,14,0.15694444444444444,pos
'best notexcuse notwork hard support liable neglect love important better notsorry regretful charm lies skillful splendid ',1299,7,0.09314857582755966,pos
'work notnotpity affection ',649,5,0.040061633281972264,pos
'darling exquisitely grim famed worth grim realistic outlaw plot lonesome wins remarkable death steals wonderful well steals outlaw gain fine shady ambitious economical notwell good bad legendary worth leading wrong ',2331,16,0.09223509223509224,pos
'wonderful loved good perfect ',359,5,0.0807799442896936,pos
'fall rhetoric like like apocalypse darkness worked plight hollow dead darkness apocalypse masterpiece apocalypse notlike darker demeaning violent conflict apocalypse notassassin darling insane led loves helpless love smell likes catastrophes remarkable fine confrontation strange worth notlikes craven horrific utterly notinnovative darkness inevitable lapse darker work disturbing beautiful love hate notnotnotdifficult difficult notapocalypse reaffirm better willing evils rhetoric apocalypse disturbing ',5636,41,0.08977998580553584,pos
'perfect notpleased work ',651,7,0.03686635944700461,pos
'colorful mystery scream popular bad notinteresting misleading death inventive like nice hard scream dont like wont like enjoyed ',722,9,0.1772853185595568,pos
'liking bad like envy cold incredibly wealthy plot dont amusing problem fairly best best limited dominates jealous drunken stupor prize ridiculous best plot twist believable sweet excruciating painfully bad leads poorly ',2225,23,0.09842696629213483,neg
'10 enjoy bash fantastic 10/10 ',442,31,0.06787330316742081,pos
'wow well shock break ridiculous 10 dont great best awesome good lack profanity like calm dont right ',1213,10,0.08244023083264633,neg
'amusing beauty enough wisdom bad didnt like unnecessary witty bored ',998,6,0.06813627254509018,neg
'works brilliantly work wrong funny biting witty modern wonderfully well hilarious unrealistic problem fantastically brilliant embarrassing embarrassing dont funny embarrassing good worth enjoyable issues refinement better better ',1091,11,0.20989917506874428,pos
'dick cold brilliant horrific excellent murder free dont fine remarkable terrific good marvelous lighter pretty great gold treasure fun refund darker haunting kill brutality impossible sorry hates brutal dont sorry murder cold ',2370,43,0.09535864978902954,pos
'wonder right appreciated plot right appreciate ',670,8,0.07014925373134329,neg
'love plot wickedly funny pillory loses farcical great talent notgreat ',593,5,0.11804384485666104,pos
'lies heroine hurt wont curt lost ulterior unfortunately twists good lead laughably bad disappointments object fell notmemorable disappointed mystery notbother ',1691,23,0.09402720283855706,neg
'disappointed animosity weak amazing like incredible limits great talent break ... disappointed great great bad likes great recommend excellent satisfying better wonderful brilliant fans better promised ',1698,52,0.11896348645465253,pos
'malodorous crap bloody infuriating painfully hopelessly hideous loud death vehement ',984,6,0.08536585365853659,neg
'stunned notpraise superb like apocalypse best best mind-blowing brilliant lead ',1412,12,0.05594900849858357,pos
'respect accuses notuprising nonsense fortunately fun crack problem funny crap amusing annoying bullshit fun phony surreal pretty phony like badly worst like interesting spite like ',2671,20,0.06739049045301385,neg
'important notbitchy extraordinarily spectacular likes didnt magic sharp tension excitement magic thank ',1372,25,0.07507288629737609,pos
'hype work 6 popular interesting unfortunately utterly problems plot blatantly stupid childish humor bad good mediocre plot poor notstupid mature good hype ',1226,16,0.1264274061990212,neg
'bland sack exciting intelligent plot cave well notlike kills worst hassles steals like worst not',1376,28,0.06976744186046512,neg
'interesting profoundly struggle bad good great great ',639,15,0.08294209702660407,neg
'bad notworst notlike lesser-known funny awful dark great like notbiased illiterate didnt terrible like bad damn dont waste ',1066,31,0.11538461538461539,neg
'decent pretty hurts pretty ',323,5,0.08359133126934984,neg
'poor excuse plot cynical tough saint love pretty loving drowning painful crooked grimace pathetic intelligence enjoy dont decent wasted ',1003,14,0.13559322033898305,neg
'entertaining substantive deserving notfast-paced dreary like clarity false clarity joy enjoyment revert false problem ',1272,8,0.09276729559748427,pos
'genuine classic notfairly lavish breaking wild messed notimportant plot honest famous outlaw falling pretty stable relief best wild stampede spectacular explosive unity problem best solid lyrical static top clearly dynamic important love romantic best sexy great like revolutionary well like unfortunately ',3566,27,0.08581043185642176,pos
'crazy shame pretty sad awesome sad cheated fame bad like ',1061,8,0.05372290292177191,neg
'trash free demonic incomprehensible killing wont hard twist kills kills badly mess weak exasperated wasted sack heroine attacks ',934,7,0.13704496788008566,neg
'like important murder kills fun fun well fun isolated pretty rubbish dull right decent effective fair poor dont bad enjoyment lifeless lame humour dont well retard didnt lame stylish tension excitement good decent stuck brutally honest retarded false joke terrible terrible pain crap redeeming ',3404,24,0.0863689776733255,neg
'notstrong leads dull manic twist notunwatchable madly strange madly didnt manic fun needless fooled leads fine excellent like fun enjoyable great notfunny notwell enjoy ',1933,25,0.08742886704604243,neg
'clever smart leads engaging entertaining effective easy odd disillusioned weary like leading struggled losing bitter struggle lean economical survival pretty ugly thug great great memorable notspoil delight hard ',1997,15,0.10615923885828743,pos
'virus virus outbreak hideous notfall rampant virus disdain resistance dead support killed murder pigs strange attraction prominent oddly well sags talented brighten incessant good good ',2494,12,0.07417802726543705,neg
'simplistic plot twists bad pleasantly obscure intense brutal brilliant beautiful ambitious fast attractive friendly suspicious submissive dark murderous cheap perverse plot notorious like twisted dont negative unsettling clearly greatest classic plot pretty clear fast mystery evil like anxious patient ideal friendliness perverted like authentic handicapped slow appeal fans exploitation weird ',2677,15,0.14755323122898767,pos
'gem fast accurate punk unfortunately popular like modern good great ',910,12,0.07472527472527472,pos
'plot demon likes loving good clever plot exciting misses enjoy ',597,5,0.10552763819095477,neg
'stupidest cry notpoor like like crappy worst like bad enemy ',716,10,0.08379888268156424,neg
'impressed beautiful easy like authentic notstrictly leading excellent worth ',1313,11,0.057882711348057884,pos
'uproarious problems pleasantly insane outrageously stupid hilarious joke funny catchy supporting spirited well nice prefer intelligent better enjoy incorrect gleefully good best ',1605,13,0.11090342679127727,pos
'1 worth contrived lone priceless absurd suspect limit like mystery like ',926,7,0.07775377969762419,neg
'legendary illustrious fright moody dignified eccentric petty greedy backbiting creepy pretty hateful bumped lethal infamy dashing hero likable clunky ugly washed-out ridiculous murder gross fat blasted right morbid lousy notably cheesy poor fiery enjoyably awful lemon oddly amusing ',1185,8,0.23881856540084387,pos
'plot weak dismal laughable continuity mess memorable well strange plot notconcerned controversy issue fault like 2 notgood notgem bad disaster humor ',1283,12,0.11613406079501169,neg
'notdont plot great plot bothered wrong inaccurate hell rival wins 3 win wins top 3 freaks inspirational pep 3 3 notwinning didnt notgood slow horrible qualify insulting dont worst crap dont ',3077,43,0.06174845628859278,neg
'hate lucky instantly excellent fabulous didnt flaws notright 1 not',926,21,0.07127429805615551,pos
'best love favorite appreciate lacked capable good good heroic fat nice fat bad notgreat great bad great good dont magnificent butcher good nicely nifty good good talents decent recommend notclassic like pleasing solid ',1547,13,0.14091790562378798,pos
'ambitious succeeds stunning notlove obnoxious miserable notcollapse notwell love gifted notflaws drunk supporting good sleazy fascinating tough ',1287,11,0.11188811188811189,pos
'humor appealing delectable beautifully captivating majestic gorgeous lovely like enhance thrilling concerns anxieties heroine wicked dreadful formidable menace aspirations menace strong conflict nicely balanced serene sweetness appealing wonderful remarkably well ',1429,10,0.1847445766270119,pos
'love good great twists lush dark dungeons stress ',704,7,0.06960227272727272,pos
'wonderfully thoughtful well enemies enthusiastically well expertly believable ',581,5,0.1342512908777969,pos
'crappy good stole amazing funny plot enough dies haunt far-fetched works worthwhile not',599,7,0.14524207011686144,pos
'great evocative superb ',449,5,0.051224944320712694,pos
'horrendous well poorly terribly murder dying like perfectly notenough obsession better 3/10 bad better failed ',622,9,0.17684887459807075,neg
'dangerous spectacular painful good fun smile like dominates dangerous idiotic proving wild infamous wild like dirty enjoy childish disgusting sad f**k ',1132,8,0.1333922261484099,pos
'lovely hilarious great well terrible great fantastic good angel great top ',553,7,0.13381555153707053,pos
'die dull notbad lacks brilliance best lead lacks charisma notexcited bright mediocre unfortunately limited die notnotmistake ',945,13,0.13227513227513227,neg
'loved popular notwell liked disappointed super fast tension mistake poor right bored love killed killed assassin illuminati notlike confined notled fair enough important important worse numb lost poor notfinest work ',2679,41,0.08062709966405375,neg
'like dumb variety terrible worst good decent bad good incredibly utterly incoherent badly plot coherent vague myth murder pretty confusing incoherent dont bad bad obnoxious bored slow chore dont bother ',1282,13,0.15756630265210608,neg
'good worth unfortunately notgood odd odd like dead good problem scary tension troubling worried monster murder good scare dont top strangle notgood ',1390,39,0.10647482014388489,neg
'criticized better smoothest like notrevolutionize fun enough educated good enjoy kudos beautiful ',1790,22,0.05418994413407821,pos
'boredom terrible killer scary unnecessary horrible hurt flair better work dont recommend ',712,7,0.125,neg
'tough incredible superb worth partisans dragging amazing notmemorable partisans ruined like dont hero hero weaker stronger issues enough hard leads notnot',1951,23,0.07893388006150692,pos
'notregretted glad extraordinary wont plot dont bleak shocking weird depressing unusual weird criticisms issues didnt notdidnt irresponsible notpositive gutsy lost strange fascinating notwon awards best astounded won notfearless remarkable insignificant sleazy dont great ',1728,14,0.1568287037037037,pos
'pros astonishing incredible woo overwhelming love ',338,4,0.14792899408284024,pos
'interesting discrimination fascinating insulted brainless beautiful fall berserk memorable guilt love dies hatred honor love solid interesting good nice solid nasty notgood gorgeous right ',1771,18,0.10615471485036702,pos
'richly like like perfect ironic sin perfect good bad supporting limited limited pleasantly enough charm classic sin hot ',1538,16,0.07802340702210664,neg
'dark 8 10 loved childish issues die good perfectly sweet nice like revenge greed compassion ',803,10,0.11457036114570361,pos
'popular like hard fuss well clear success stunt won notgood not',1027,8,0.06134371957156767,pos
'great reputation work critical respect spiritual enlightenment shallow conflicts spiritual issues odd fell love legendary memorable conflicted great supporting lavish critics beautifully best fairly consistent problem reasonably plot fails issues spite superficial spiritual significant enlightenment plot loves beauty talent good solid unfortunately notfortunately supporting good notworn well hilarious better odd notgood bonus memorable willingness best fans enjoy spiritual enlightenment vague ',4333,27,0.11493191783983384,neg
'classic awe proves 2 disturbed misfit lovable creepy led relief kudos mistakes good well unfortunately 2 outstanding not3 slow plot spooky productive yawn recommendation ',1209,14,0.14061207609594706,neg
'sick worst terrible didnt bad like survivor dreadful bad like bad terrible killing bad 1 10 ',939,21,0.0979765708200213,neg
'exciting plot great classy ',863,8,0.031286210892236384,pos
'well fairly drastically twists breathtakingly straightforward bogus fallen like overwhelming disbelief hard like irony sarcasm didnt wound survival like love great twist modern correct like loose twist modern crashed overtook nicely nice chill lost crashes object notsafe clear stupid stupid adorable beautiful loose convincing notplot notclear nicely dont ',4848,69,0.07363861386138613,neg
'trashy prolific ugly mercifully dull attack continuity laughably bad demonic worse ',611,8,0.13584288052373159,neg
'visionary ambitious reasonably faithful sadly unkind pretty good richly dark incredible great defeated falls foolishly forged master dark perilous protect doom best horrifying legendary sadly abrupt sensible frustration regret nice variety interesting decent hurt goofy notwell commendable ',3184,27,0.09108040201005026,pos
'great fragile important notwell screwed unusual notreticent mistakes hilarious disregard ',1101,10,0.08083560399636694,pos
'worked paramount great favorite bad hero laughable hate nothell worst notnotsorry notclever insulted ',953,12,0.10598111227701994,neg
'notdont waste work absurd ridiculous stunning revelation meaningful rapport dirty shaky annoying enough lengthy loser talent happy love happy worthwhile ',1516,10,0.10092348284960422,neg
'like worst notunbelievably stupid unrealistic notnotgood scare well notscary stupid awful well murderer dont like worth ',1189,12,0.10092514718250631,neg
'killer worthy like killer killer like killer killer enough break criminal like superior like thrill everlasting disturbed fierce good bad funny lead like ',1834,20,0.08396946564885496,pos
'winning alarming best needless acclaim concerns dominated abusive fear interesting humour struggles notappreciate didnt supporting supporting deserving didnt best omission notcrazy notsatisfying master baffled poorly ',1770,15,0.12259887005649718,pos
'excellent not',240,6,0.05416666666666667,pos
'romantic unbelievable pleasure charisma illiterate better bland mess issues love leads interesting pure difficult happy satisfying *** **** ',937,6,0.14941302027748132,pos
'good weary fear notgood fun lying love falls sticky right ',859,9,0.06752037252619325,pos
'top notfunny worthwhile recommend top drunk kill drunk ',673,11,0.08172362555720654,neg
'friendly 9 10 best problem lack like plot weak garbage murder unravel waste conspiracy amusing decent notenough fat waste ',741,9,0.16464237516869096,neg
'favorite liked problem proving bad evil sweetness liked loved good good ',1037,14,0.06943105110896818,pos
'stable magnificent violent stunningly lurid enthusiasm villains surreal fleeing protect unfortunate hell breaks bizarre villains loved superior great recommend ',1150,9,0.1391304347826087,pos
'surpass goofy crap great cohesive worst dont trash bad unbearable ',995,21,0.06633165829145729,neg
'fall suffering death profound significant desert notfreedom appreciated magnificent repression outbursts suffers clear gain fake accurate freedom stealing difficulties free death difficulties winning ',1903,12,0.10509721492380451,pos
'notterrible like hell like notbad good boring bad notterrible terrible annoying good somber irksomely terrible stupidity ',1685,24,0.07181008902077152,neg
'wonderful favorite amazing notamazingly didnt twists beautiful bad ',767,14,0.08735332464146023,pos
'worst talents poorly messing worthless plot ploy modern messing stereotypical steal wealthy bored neglected gossip boring lacking charm humor like glimmering shine dim dying amazing talent remarkable charm humor ',1513,11,0.14011896893588896,neg
'like fails well mundane dont ample accurately suffer correctly correctly ',585,7,0.12478632478632479,neg
'notgood unsuccessfully notgood wasted better best frightening favorite glimmer beautiful bad not',756,8,0.12698412698412698,neg
'dont dont worse like horrible wreck disgusting utterly ridiculous notfunny notlike painful notwork problem bad worth bad well bad ',1177,16,0.11045029736618521,neg
